Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,221.710007,223.470001,220.169998,222.080002,214.629807,4483100
2019-10-10,218.190002,224.130005,217.520004,223.729996,216.224472,5252200
2019-10-11,225.539993,228.850006,221.589996,222.070007,214.620148,5891600
2019-10-14,221.630005,223.339996,219.899994,220.589996,213.189789,4075300
2019-10-15,232.690002,239.839996,231.089996,238.589996,230.585938,13397700
2019-10-16,236.289993,237.479996,234.080002,236.990005,229.039612,5368600
2019-10-17,238.690002,244.610001,237.270004,243.669998,235.495514,6301200
2019-10-18,244.449997,246.410004,241.759995,245.339996,237.109482,4922100
2019-10-21,245.020004,245.600006,242.149994,243.919998,235.737122,3029200
2019-10-22,243.639999,251.500000,243.149994,249.479996,241.110611,5660800
2019-10-23,248.389999,251.750000,246.729996,247.800003,239.486969,3706600
2019-10-24,248.029999,248.490005,243.910004,244.509995,236.307312,2546900
2019-10-25,243.910004,246.080002,242.149994,244.910004,236.693924,2815100
2019-10-28,245.259995,248.389999,244.919998,247.050003,238.762115,2957100
2019-10-29,247.039993,253.199997,246.309998,252.289993,243.826355,3528900
2019-10-30,252.169998,255.279999,251.979996,254.800003,246.252121,3299600
2019-10-31,254.380005,255.720001,249.910004,252.699997,244.222580,3960400
2019-11-01,253.990005,256.329987,252.160004,252.210007,243.749023,2919600
2019-11-04,253.630005,253.830002,249.910004,251.250000,242.821228,3186400
2019-11-05,253.740005,254.270004,250.089996,250.300003,241.903122,5393400
2019-11-06,249.710007,251.990005,249.089996,250.520004,242.115692,3668600
2019-11-07,251.949997,256.750000,251.259995,256.459991,247.856445,3646300
2019-11-08,256.769989,258.339996,255.000000,256.970001,248.349335,2200300
2019-11-11,255.050003,256.459991,253.330002,254.089996,245.565948,1765600
2019-11-12,253.589996,255.759995,253.410004,255.250000,246.687012,1892500
2019-11-13,254.869995,256.880005,253.190002,253.570007,245.063400,3289800
2019-11-14,253.800003,256.079987,253.470001,255.830002,247.247589,2101900
2019-11-15,256.109985,275.570007,255.360001,269.399994,260.362335,10136000
2019-11-18,269.000000,278.450012,269.000000,272.929993,263.773895,6985200
2019-11-19,275.239990,275.359985,271.549988,274.230011,265.030334,4002000
2019-11-20,272.250000,276.029999,271.239990,275.559998,266.315704,4141600
2019-11-21,275.220001,277.679993,273.910004,276.549988,267.272461,3309900
2019-11-22,276.529999,277.769989,275.000000,276.839996,267.552734,2802700
2019-11-25,277.779999,283.000000,277.010010,282.670013,273.187195,4082900
2019-11-26,280.709991,282.250000,280.160004,281.399994,271.959808,2998600
2019-11-27,281.010010,281.929993,278.690002,280.670013,271.254272,2323900
2019-11-29,278.100006,280.920013,277.329987,279.869995,270.481049,1520900
2019-12-02,281.779999,282.000000,278.570007,279.660004,270.278137,2517100
2019-12-03,276.970001,278.420013,273.850006,276.899994,267.610718,3239200
2019-12-04,281.619995,281.839996,278.640015,279.320007,269.949585,2694200
2019-12-05,279.239990,282.820007,277.480011,282.000000,272.539642,3357300
2019-12-06,282.839996,283.040009,279.109985,280.190002,271.831421,2828900
2019-12-09,280.769989,280.869995,277.420013,277.540009,269.260498,2697100
2019-12-10,277.600006,279.600006,274.010010,279.519989,271.181396,2515300
2019-12-11,278.299988,280.660004,278.029999,280.500000,272.132141,2751300
2019-12-12,281.029999,283.989990,280.040009,283.609985,275.149414,2996200
2019-12-13,284.970001,287.809998,284.119995,285.480011,276.963623,3599300
2019-12-16,287.970001,295.440002,287.059998,292.029999,283.318237,4663600
2019-12-17,291.239990,292.779999,289.170013,290.470001,281.804749,4409100
2019-12-18,291.000000,294.859985,290.989990,292.899994,284.162231,3621600
2019-12-19,295.000000,297.200012,293.619995,294.619995,285.830933,2905900
2019-12-20,298.899994,300.000000,292.510010,292.589996,283.861511,6608300
2019-12-23,293.429993,295.850006,292.809998,295.089996,286.286896,2098900
2019-12-24,295.260010,295.829987,293.559998,294.540009,285.753296,714000
2019-12-26,295.299988,296.260010,294.540009,295.649994,286.830231,1050600
2019-12-27,296.010010,296.540009,295.010010,295.970001,287.140686,1547100
2019-12-30,296.049988,296.540009,293.450012,293.850006,285.083893,1511700
2019-12-31,293.660004,294.089996,291.149994,293.980011,285.210052,2224200
2020-01-02,293.980011,295.700012,289.790009,292.500000,283.774200,2543400
2020-01-03,287.269989,291.880005,284.359985,289.540009,280.902527,2711400
2020-01-06,288.000000,291.660004,287.220001,291.549988,282.852509,3079100
2020-01-07,290.700012,291.489990,287.579987,289.790009,281.145050,2492900
